success,benchmark,temperature,execution_time,llm_finished,output,total_realizability_time,num_tokens_guessed,num_tokens_generated,tries_per_token
True,uppercase.egglog,0.01,5.788126468658447,True," let uppercase_chars = filter isAlpha s in
let mapped_uppercase_chars = map toUpper uppercase_chars in
mapped_uppercase_chars",0.5992650985717773,51,42,"Counter({(1, 39): 1, (8, 1): 1, (2, 2): 1})"
True,lerp.egglog,0.01,3.7584986686706543,True," let diff = end - start in
let result = start + diff * scale in
result",0.5316736698150635,31,21,"Counter({(1, 18): 1, (9, 1): 1, (2, 2): 1})"
True,auth.egglog,0.01,4.314316749572754,True, fetch_document (authorize_user_for_document (authenticate_user current_user web_request) document_id),0.5478935241699219,37,30,"Counter({(1, 27): 1, (6, 1): 1, (2, 2): 1})"
True,power.egglog,0.01,6.412408113479614,True," let power_in_mw = power / 1000 in
let cost_per_hour = power_in_mw * price_per_kwh in
cost_per_hour * hours",1.4462761878967285,56,48,"Counter({(1, 46): 1, (8, 1): 1, (2, 1): 1})"
True,distance.egglog,0.01,5.2279345989227295,True," let distance_squared = pow (x1 - x2) 2 + pow (y1 - y2) 2 in
sqrt distance_squared",0.9923758506774902,43,36,"Counter({(1, 35): 1, (8, 1): 1})"
True,gravity.egglog,0.01,7.332953214645386,True," let p = pow 10 (-15) in
let q = 66743 * m1 * m2 in
p * q / pow r 2",2.8731095790863037,47,40,"Counter({(1, 39): 1, (8, 1): 1})"
True,image.egglog,0.01,6.207178831100464,True," let crop_img = apply_filter (crop_image original_image selection) filter_type in
let add_mark = add_watermark crop_img watermark_image in
add_mark",0.9832925796508789,59,51,"Counter({(1, 50): 1, (9, 1): 1})"
True,variance.egglog,0.01,22.315341234207153,True," let avg = (a + b + c) / 3 in
let diff1 = abs(a - avg) in
let diff2 = abs(b - avg) in
let diff3 = abs(c - avg) in
sqrt((pow(a-avg) 2) + (pow(b-avg) 2) + (pow(c-avg) 2)) / 3",13.38298749923706,115,96,"Counter({(1, 89): 1, (12, 1): 1, (2, 5): 1, (4, 1): 1})"
True,positives.egglog,0.01,3.4627997875213623,True, let average = sum (filter positive xs) / length (filter positive xs) in average,0.5976111888885498,28,20,"Counter({(1, 18): 1, (8, 1): 1, (2, 1): 1})"
True,quadratic.egglog,0.01,7.9671642780303955,True," let d = pow b 2 in
let e = 4 * a * c in
let f = (-b + sqrt(d - e)) / (2 * a) in
f",3.074471950531006,55,44,"Counter({(1, 41): 1, (10, 1): 1, (2, 2): 1})"
True,uppercase.egglog,0.3,3.2166340351104736,True, let uppercase_s = filter isAlpha s in map toUpper uppercase_s,0.23482608795166016,28,20,"Counter({(1, 19): 1, (9, 1): 1})"
True,lerp.egglog,0.3,3.323488235473633,True," let diff = end - start in
let result = start + diff * scale in
result",0.33272767066955566,30,21,"Counter({(1, 19): 1, (9, 1): 1, (2, 1): 1})"
False,auth.egglog,0.3,24.960429430007935,False, fetch_document (auth any,3.1003432273864746,300,6,"Counter({(1, 5): 1, (6, 1): 1})"
True,power.egglog,0.3,6.180880784988403,True," let power_in_mw = power / 1000 in
let cost_of_energy = power_in_mw * hours * price_per_kwh in
cost_of_energy",1.2556769847869873,56,48,"Counter({(1, 46): 1, (8, 1): 1, (2, 1): 1})"
True,distance.egglog,0.3,5.174950838088989,True," let distance_squared = pow (x1 - x2) 2 + pow (y1 - y2) 2 in
sqrt distance_squared",0.9439854621887207,43,36,"Counter({(1, 35): 1, (8, 1): 1})"
True,gravity.egglog,0.3,7.471280097961426,True," let p = pow 10 (-15) in
let q = 66743 * m1 * m2 in
p * q / pow r 2",2.8809337615966797,49,40,"Counter({(1, 39): 1, (10, 1): 1})"
True,image.egglog,0.3,7.86150050163269,True," let cropped_image = crop_image original_image selection in
let filtered_cropped_image = apply_filter cropped_image filter_type in
let final_image = add_watermark filtered_cropped_image watermark_image in
final_image",1.4302632808685303,74,65,"Counter({(1, 63): 1, (9, 1): 1, (2, 1): 1})"
