success,benchmark,temperature,execution_time,llm_finished,output,total_realizability_time,num_tokens_guessed,num_tokens_generated,tries_per_token
True,uppercase.egglog,0.01,2.0407180786132812,True," ```
let uppercaseChars = filter isAlpha s in
    map toUpper uppercaseChars
```",0.26193690299987793,26,26,"Counter({(1, 26): 1})"
True,lerp.egglog,0.01,3.7484467029571533,True," ```
let start_scaled = start * scale in
let end_scaled = end * scale in
(end - start) * scale
+ start
```",1.2421162128448486,43,38,"Counter({(1, 33): 1, (2, 5): 1})"
True,auth.egglog,0.01,3.6593241691589355,True," ```
let authorizedUser = authenticate_user current_user web_request in
let authorizedDocumentId = authorize_user_for_document authorizedUser document_id in
fetch_document authorizedDocumentId
```",0.7558953762054443,52,52,"Counter({(1, 52): 1})"
False,power.egglog,0.01,7.603278636932373,False," ```
let powerPerKWh = price_per_kwh / 1000 in
let totalCost = powerPerKWh * hours in
totalCost






























































",2.22556209564209,110,100,"Counter({(1, 96): 1, (2, 2): 1, (3, 1): 1, (7, 1): 1})"
True,distance.egglog,0.01,3.9892044067382812,True," ```
let dX = x1 - x2 in
let dY = y1 - y2 in
sqrt(pow(dX) 2 + pow(dY) 2)
```",1.2107977867126465,49,46,"Counter({(1, 43): 1, (2, 3): 1})"
True,gravity.egglog,0.01,6.806090354919434,True," ```
let p = pow 10 (-15) in
let q = 66743 * m1 * m2 in
let r2 = pow r 2 in
p * q / r2
```",3.8454086780548096,53,52,"Counter({(1, 51): 1, (2, 1): 1})"
True,image.egglog,0.01,4.784811496734619,True," ```
let croppedImage = crop_image original_image selection
in
let filteredImage = apply_filter croppedImage filter_type
in
let watermarkedImage = add_watermark filteredImage watermark_image
in
watermarkedImage
```",1.256756067276001,67,67,"Counter({(1, 67): 1})"
True,variance.egglog,0.01,15.312492847442627,True," ```
let d = a-((a+b+c)/3) in
let e = b-((a+b+c)/3) in
let f = c-((a+b+c)/3) in
sqrt(pow(d) 2 + pow(e) 2 + pow(f) 2) / 3
```",10.942135572433472,84,80,"Counter({(1, 76): 1, (2, 4): 1})"
True,positives.egglog,0.01,4.2812676429748535,True," 
```
let posXs = filter positive xs in
let sumPosXs = sum posXs in
let lenPosXs = length posXs in
sumPosXs / lenPosXs
```",1.4174084663391113,51,50,"Counter({(1, 49): 1, (2, 1): 1})"
True,quadratic.egglog,0.01,10.757108449935913,True," ```
let a_squared = pow(a) 2
in
let b_squared = pow(b) 2
in
let denominator = 2 * a
in
let numerator = (-b) + sqrt((b_squared - 4 * a * c))
in
numerator / denominator
```",6.434880495071411,83,78,"Counter({(1, 74): 1, (2, 3): 1, (3, 1): 1})"
