did_compile,benchmark_id,benchmark_name,temperature,execution_time,llm_finished,output,total_realizability_time,num_tokens_guessed,num_tokens_generated,tries_per_token,timed_out
True,0,mbpp_80_tetrahedral_number,0.3,17.61981225013733,True,"```
function tetrahedral_number(n: number): number {
  // Tetrahedral Number formula is (n*(n+1)*(n+2))/6
  const numerator: number = n * (n + 1) * (n + 2);
  const denominator: number = 6;
  
  return Math.floor((numerator / denominator));
}
```
",11.032535791397097,101,90,"Counter({(7, 1): 1, (2, 2): 1, (1, 86): 1, (4, 1): 1})",False
False,1,mbpp_392_get_max_sum,0.3,158.31219840049744,False,"```
let cache :number = 0;
function get_max_sum(num: number): number{ 
   if( num <= 1 )return num ;     // Base case
   let halfNum       :number  = Math.floor(num / 2);
   let thirdNum      :number  = Math.floor(num / 3 );
   let fourthNum     :number  = Math.floor(num / 4 );
   let fifthNum      :number  = Math.floor(num / 5 );        
   return Math.max((getMaxSum(halfNum)+ getMaxSum(thirdNum)  + getMaxSum(fourthNum) +  getMaxSum(fifthNum)) 
               + ((cache - num > 0)? cache-num : 0) 
               *(Math.pow(2 , Math.log2(num)))*(Math.pow(3 , Math.log2(count",135.45774912834167,400,198,"Counter({(12, 1): 1, (4, 3): 1, (1, 180): 1, (9, 1): 1, (6, 2): 1, (3, 3): 1, (2, 8): 1})",True
True,2,mbpp_171_perimeter_pentagon,0.3,7.078253507614136,True,"```
function perimeter_pentagon(sideLength: number): number {
  const perimeterOfPentagon   :number = 5 * sideLength ;
return perimeterOfPentagon;}
```
",3.3967292308807373,60,47,"Counter({(3, 3): 1, (1, 42): 1, (4, 1): 1, (5, 1): 1})",False
True,3,mbpp_127_multiply_int,0.3,4.02771782875061,True,"```
function multiply_int(x: number, y: number): number {
  return x * y;
}
```
",1.520728588104248,36,31,"Counter({(3, 1): 1, (4, 1): 1, (1, 29): 1})",False
False,4,mbpp_435_last_Digit,0.3,40.88680577278137,False,"```
function last_Digit(n: number): number {
  return Math.floor(Math.fine",20.47713828086853,400,26,"Counter({(3, 2): 1, (2, 3): 1, (1, 20): 1, (63, 1): 1})",False
True,5,mbpp_287_square_Sum,0.3,120.77289056777954,False,"```
let result :number = 0;  // initialize variable 'result' as zero
for ( let i :number =2 ;i<=2*1 ;i+=2){   // loop from second even number till required limit
     result += Math.pow(i ,2);             // calculate square & add it into our resultant value
 }

if(Math.floor((2 * 1)) !== Math.ceil ((2 * 1)))         // check if we have any decimal points then round off to nearest whole number else keep same
{
	result  = Math.floor(result) + 1;                    // adding one more because initial count starts at 2 not 1 hence need adjustment
}else{
	result = Math.floor(result );                         // no adjustments needed just take floor value
}



















































































































",96.75994729995728,400,294,"Counter({(3, 8): 1, (1, 207): 1, (5, 3): 1, (2, 75): 1, (4, 1): 1})",False
True,6,mbpp_606_radian_degree,0.3,49.011921644210815,True,"```
function radian_degree(degree: number): number {
  const piRadiansBy180Degrees: number = Math.PI / 180; // Approximation due to floating point precision issues
  let resultInRadians: number = degree * piRadiansBy180Degrees;
  
  if (resultInRadians === 2*Math.PI) {
      resultInRadians = 0;     // Avoids returning negative values when input is exactly 360° which would give -4π/2 as equivalent value
  } else if ((resultInRadians > Math.PI && resultInRadians < 2*Math.PI)) {
       resultInRadians-Math.PI;        // Converts positive angles greater than 180 into their corresponding counterclockwise angle between 0 and PI radians
  }
  return resultInRadians;
}
```
",35.22332072257996,232,211,"Counter({(3, 7): 1, (4, 2): 1, (1, 201): 1, (2, 1): 1})",False
True,7,mbpp_803_is_perfect_square,0.3,10.716937065124512,True,"```
function is_perfect_square(n: number) :boolean{ 
   let sr: number = Math.sqrt(n); 
     if((sr*sr == n)) 
        return true;     
       else          
         return false;         
 }
```
",5.7951483726501465,75,65,"Counter({(3, 1): 1, (4, 1): 1, (1, 61): 1, (2, 1): 1, (5, 1): 1})",False
False,8,mbpp_731_lateralsurface_cone,0.3,155.0376136302948,False,"```
function lateralsurface_cone(r: number, h: number): number {
  const l:number = Math.sqrt((h * h) + (r * r)); // calculate slant length
  
  if ((l === h && r === 0 ) || (Math.pow(2*h/l -1 ,2)) <= 4*(r/(l-h))) { // check edge cases where one side is vertical i.e., l=h & r = 0 or base circle lies inside the frustum
      return Math.PI * r * l ;     // then it's a cylinder not a cone hence compute as Cylinder Lateral Surface Area which equals Pi*radius*height
 } else{                            // otherwise its normal case so we can proceed normally
       let s : number  = Math.PI * r * l;         // Calculate Slant Height from Pythagorean theorem
       
       let t : number   = Math.PI * r * r;          // Compute Base Circle Area

       return s + 2*t;                              // Return Total Lateral Surface Area by adding both areas together
 }
  ",131.6848006248474,400,253,"Counter({(3, 1): 1, (5, 2): 1, (2, 7): 1, (1, 240): 1, (6, 2): 1, (4, 1): 1})",True
True,9,mbpp_581_surface_Area,0.3,86.33488821983337,True,"```
function surface_Area(baseEdge: number, height: number): number {
  // Surface Area = 2 * (1/2) * bs + √3*(bs^2)/4 where 'b' is Base Edge & 'h' is Height respectively.
  
  let sideLengthOfSquareBase :number = Math.sqrt((height*height)- ((0.5)*((0.5)*baseEdge)) );
    
  if(sideLengthOfSquareBase < 0){
      return 0 ; // Returning zero as it means triangle part does not form valid geometry ie., negative length cannot exist hence returning zero.
       }else{
           const totalSurfaceArea: number  = (2 * (0.5) * baseEdge * sideLengthOfSquareBase )+ ((Math.sqrt(3) * Math.pow(sideLengthOfSquareBase ,2)) / 4);
           
          return totalSurfaceArea;}
}
```
",72.08966445922852,243,219,"Counter({(4, 3): 1, (1, 208): 1, (2, 3): 1, (3, 4): 1, (5, 1): 1})",False
True,10,mbpp_135_hexagonal_num,0.3,7.920911550521851,True,"```
function hexagonal_num(n: number): number {
  // Hexagonal Number formula is (2*n*(n+1))/2
  let result :number = ((2 * n) + 1);  
  return result ;    
}
```
",3.698708057403565,70,61,"Counter({(5, 1): 1, (2, 2): 1, (1, 57): 1, (4, 1): 1})",False
False,11,mbpp_739_find_Index,0.3,158.38326168060303,False,"```
let i : number = 1;  // Initialize result  
while (true) {    
    let val : number = ((i * (i + 1)) / 2);      // Calculate Triangle Number 
       if((val+val/(Math.log2(val)*0.577216 ) - Math.floor(val*(9*val)/48)-3*val/(Math.sqrt(2*Math.PI*val)))>=Math.pow(10,(2*(((Math.ceil(Math.log2(val)))-1)/3)))){        // Checking condition for given digit length
           if((val+val/(Math.log2(val)*0.577I",135.78597164154053,400,161,"Counter({(13, 1): 1, (3, 5): 1, (1, 136): 1, (2, 16): 1, (11, 1): 1, (5, 1): 1, (4, 1): 1})",True
True,12,mbpp_17_square_perimeter,0.3,3.792863607406616,True,"```
function square_perimeter(sideLength: number): number {
  return 4 * sideLength;
}
```
",1.4563403129577637,34,30,"Counter({(3, 2): 1, (1, 28): 1})",False
True,13,mbpp_77_is_Diff,0.3,7.775386810302734,True,"```
function is_Diff(num:number) :boolean{  
     if ( num % 11 === 0){
         return true ;
      } else {
          return false ;
       }
}
```
",3.575445413589477,66,61,"Counter({(4, 1): 1, (3, 1): 1, (1, 59): 1})",False
True,14,mbpp_126_sum,0.3,67.33329248428345,True,"```
function sum(num1:number , num2 :number)  :number{   // Greatest Common Divisor (GCD), also known as highest common factor (HCF).
     let minNum : number = Math.min(num1 	);
      let total : number = 0 ;
      	for	(let i : number= 1 ;i <= minNum/2+1; i++){	// loop through all possible factors from 1 upto half of minimum number plus one
          	if ((num1 % i === 0 )&& (num2% i ===0)){			// if both numbers can divide by current iterator then it is a common divider so adding into our total variable
              	total += i * 2;}								// multiply by 2 because we have counted each pair twice when they're equal
          }
       	return total;										// returning final resultant value which represents Sum of common divisors.
	}
```
",53.0359411239624,240,211,"Counter({(3, 2): 1, (4, 1): 1, (1, 202): 1, (2, 2): 1, (5, 2): 1, (8, 1): 1, (6, 1): 1})",False
True,15,mbpp_266_lateralsurface_cube,0.3,10.381320476531982,True,"```
function lateralsurface_cube(l: number): number {
  // The formula to calculate the Lateral Surface Area (LSA) of a Cube is 4 * l^2 where 'l' represents one edge of the square faces of the cube.
  
  let lsa :number = 4* Math.pow(l , 2);
    
  return lsa ;
 }
```
",4.798770904541016,102,96,"Counter({(4, 1): 1, (2, 1): 1, (1, 93): 1, (3, 1): 1})",False
True,16,mbpp_797_sum_in_range,0.3,34.90903162956238,True,"```
function sum_in_range(l: number, r: number): number {
  let totalSum :number = 0 ; // initialize variable to store result
  
  for (let i: number = l + 1; i < r; i++) { // start loop from next integer than 'l' till just less than 'r'.
      if ((i % 2)!== 0){ // check whether current value is odd by checking remainder when divided by 2. If it isn't zero then its odd.
          totalSum += i; // Add this value to our running total.
      }
  }
  
  return totalSum; // Return final computed sum.
}
```
",24.578810691833496,166,156,"Counter({(3, 3): 1, (1, 149): 1, (2, 4): 1})",False
False,17,mbpp_3_is_not_prime,0.3,142.79807376861572,False,"```
function is_not_prime(num: number) :boolean{  
  if ( num <= 1 ) {return true;} // zero and one are not prime by definition
  else if(num == 2){return false;} //two is also considered as prime
  else {
      let sqrtNum:number = Math.sqrt(num);
      
    	for(let i:number = 2 ;i <= sqrtNum+1; i++){		        	         			           									               															            	   	 	       	     	          	                	             	                                              	                                                                                           	                       	                   	                  	                 	                     	                    	                      	                         	                        	                          	                            	                             	                              	                               	                                  	                                 	                                    	                                     	                                      	                                        	                                       	                                         	                                            	                                           	                                               	                                              	                                             	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                              	                                ",117.67479395866394,400,377,"Counter({(4, 2): 1, (2, 13): 1, (1, 361): 1, (5, 1): 1})",False
True,18,mbpp_458_rectangle_area,0.3,4.574181318283081,True,"```
function rectangle_area(length: number, breadth: number): number {
    return length * breadth;
}
```
",1.7059597969055176,35,32,"Counter({(2, 1): 1, (3, 1): 1, (1, 30): 1})",False
True,19,mbpp_441_surfacearea_cube,0.3,9.95843243598938,True,"```
function surfacearea_cube(sideLength: number): number {
  // The formula for calculating the surface area of a cube is 6 * side^2
  const surfaceArea: number = 6 * Math.pow(sideLength, 2);
  
  return surfaceArea;
}
```
",4.521852254867554,78,71,"Counter({(4, 1): 1, (3, 2): 1, (1, 68): 1})",False
False,20,mbpp_162_sum_series,0.3,160.91851472854614,False,"```
let result:number = 0;
for(let i:number = 0; (result+1)*2 <= Math.min((result + 3)/2 * 2); i++){
   if ((Math.floor(i/2))%2 === 0 ){
      result += (Math.max(0-(2*(i % 2)-1)));
   } else {
       result += 2*(i % 2);
   }
}
if (result > Math.ceil(Math.log2(7))) {
     let tempResult : number= 0 ;
     while(tempResult < result && tempResult < 5896046447) {
        tempResult ++;}
     result  = error",134.60245966911316,400,162,"Counter({(5, 2): 1, (4, 4): 1, (1, 129): 1, (2, 17): 1, (3, 9): 1, (6, 1): 1})",True
False,21,mbpp_448_cal_sum,0.3,63.42223048210144,False,"```
let arrPerrinNumbers :number = (0);  // Initialize array with first Perrin Number which is zero.
if (arrPerrinNumbers === 1) {  
     let nextNumberInSequence :number = 2 ;      
      if ((nextNumberInSequence - 3 )>  nTerm",37.37583661079407,400,71,"Counter({(17, 1): 1, (2, 10): 1, (1, 55): 1, (8, 1): 1, (10, 1): 1, (3, 2): 1, (4, 1): 1})",False
True,22,mbpp_738_geometric_sum,0.3,28.533403635025024,True,"```
function geometric_sum(n: number): number {
  if (n <= 0) {
      // Base case when n is less than or equal to zero
      return 0;
  } else {
      let powerOfTwoNMinusOne :number = Math.pow(2, n - 1);  
      
      // Recursive call to get next term
      let restSum :number= geometric_sum(n - 1);    
        
      // Return current term plus remaining terms
      return powerOfTwoNMinusOne / 2  + restSum ;       
  }
}
```
",19.01215934753418,157,141,"Counter({(7, 1): 1, (3, 4): 1, (1, 134): 1, (2, 2): 1})",False
False,23,mbpp_239_get_total_number_of_sequences,0.3,46.355072021484375,False,"```
let memoizationTable: number = (105 * 2) + 3; // Initialize table size as maximum value plus three extra spaces
memoizationTable = Math.max(Math.floor((m])",24.786917448043823,400,48,"Counter({(23, 1): 1, (3, 3): 1, (1, 30): 1, (2, 9): 1, (6, 3): 1, (11, 1): 1, (8, 1): 1})",False
