did_compile,benchmark_id,benchmark_name,temperature,execution_time,llm_finished,output,total_realizability_time,num_tokens_guessed,num_tokens_generated,tries_per_token,timed_out
True,0,mbpp_80_tetrahedral_number,0.7,24.011845350265503,True," ```
function tetrahedral_number(n: number) : number{
return (1 /6)*((Math.pow(n,3))+((2* Math.sqrt(3)*n*(n-1)))-(3 * Math.pow(n - 1, 2)));
}
```",17.371970176696777,74,69,"Counter({(1, 64): 1, (2, 5): 1})",False
False,1,mbpp_392_get_max_sum,0.7,164.89292693138125,False," ```
function get_max_sum(n: number): number {
    if (n < 120) { // base case: when n is less than 120, just return itself as it's already the maximal value
        return n;
    } else { // recursive case: split n into its factors, calculate their maximums separately, then compare them together
        const halves: number = Math.floor(n / 2);
        const thirds: number = Math.floor(n / 3);
        const quarters: number = Math.floor(n / 4);
        const fifths: number = Math.floor(n / 5);
        
        let maxHalves: number = get_max_sum(halves);
        let maxThirds: number = get_max_sum(thirds);
        let maxQuarters: numberMD",134.23998403549194,400,199,"Counter({(1, 196): 1, (2, 3): 1})",True
True,2,mbpp_171_perimeter_pentagon,0.7,4.598316669464111,True," ```
function perimeter_pentagon(sideLength: number) : number{
return sideLength * 5;  }
```",1.321152687072754,31,31,"Counter({(1, 31): 1})",False
True,3,mbpp_127_multiply_int,0.7,4.598291873931885,True," ```
function multiply_int(x: number, y: number): number {
    return x * y;
}
```",1.4102675914764404,30,30,"Counter({(1, 30): 1})",False
True,4,mbpp_435_last_Digit,0.7,4.570133686065674,True," ```
function last_Digit(n: number) :number{
	return n % 10;
}
```",1.3532240390777588,30,29,"Counter({(1, 28): 1, (2, 1): 1})",False
True,5,mbpp_287_square_Sum,0.7,19.91614389419556,True," ```
function square_Sum(n: number): number {
    let result: number = 0;
    
    for (let i: number = 1; i <= n; i++) {
        if (i % 2 === 0) {
            result += Math.pow(i, 2);
        }
    }
    
    return result;
}
```",12.577152967453005,90,89,"Counter({(1, 88): 1, (2, 1): 1})",False
True,6,mbpp_606_radian_degree,0.7,6.23736834526062,True," ```
function radian_degree(degrees: number) :number{
return (Math.PI /180)*degrees;
 }
```",2.427607297897339,39,38,"Counter({(1, 37): 1, (2, 1): 1})",False
True,7,mbpp_803_is_perfect_square,0.7,12.941797733306885,True," ```
function is_perfect_square(n: number): boolean {
    let x: number = Math.sqrt(n);
    if (x == Math.floor(x)) { // Checks if x is an integer
        return true;
    } else {
        return false;
    }
}
```",6.359515190124512,75,74,"Counter({(1, 73): 1, (2, 1): 1})",False
True,8,mbpp_731_lateralsurface_cone,0.7,9.235827445983888,True," ```
function lateralsurface_cone (r:number, h:number) :number{
return Math.PI*Math.pow((r+0.5)*h,(1/2));
 }
```",4.4158971309661865,53,51,"Counter({(1, 49): 1, (2, 2): 1})",False
True,9,mbpp_581_surface_Area,0.7,50.11417031288147,True," ```
function surface_Area(baseEdgeLength: number, sideHeight: number): number {
    const baseArea: number = Math.pow(sideHeight / baseEdgeLength, 2); // Compute the area of each face
    const perimeterOfBaseFace: number = (4 * Math.sqrt((Math.pow(sideHeight / baseEdgeLength, 3)))); // Compute the length of the sides of one base face
    
    return ((2 * baseArea) + (perimeterOfBaseFace * 6)) * baseEdgeLength; // Return the total surface area by multiplying it by the length of one base edge
}
```",38.57338094711304,149,145,"Counter({(1, 141): 1, (2, 4): 1})",False
True,10,mbpp_135_hexagonal_num,0.7,6.1481239795684814,True," ```
function hexagonal_num(n: number) :number{
return (2*n -1)*(n-1);
}
```",2.370943307876587,38,36,"Counter({(1, 34): 1, (2, 2): 1})",False
False,11,mbpp_739_find_Index,0.7,43.5067503452301,False," ```
function find_Index(n: number) :number{
let i: number =1
       
       // Check if first element is greater than given value  
     
    
       
        
       // If yes then print necessary message                             
            
               
           
          
         
               
            
              
 
                
           
    
                 
   
           
    
    
   
   
    
                   
                     
                 
                   
                       
                                  
                                     
                                           
                                               
                                                 
                                                   
                                                     
                                                         
                                                             
                                                                 
                                                                   
                                                                      
                                                                        
                                                                          
                                                                            
                                                                       
                                                                          
                                                                            
                                                                           
                                                                              
                                                                                
                                                                                
                                                                                   
                                                                                       
                                                                                         
                                                                                           
                                                                                            
                                                                                              
                                                                                               
                                                                                                  
                                                                                  
                                                                                     
                                                                                    
                                                                                        
                                                                                          
                                                                                            
                                                                                               
                ",13.771931648254396,400,338,"Counter({(1, 306): 1, (3, 9): 1, (9, 1): 1, (8, 1): 1, (6, 1): 1, (2, 18): 1, (4, 2): 1})",False
True,12,mbpp_17_square_perimeter,0.7,4.506789445877075,True," ```
function square_perimeter(sideLength: number) :number{
	return 4 * sideLength;
}```",1.221423625946045,31,29,"Counter({(1, 27): 1, (2, 2): 1})",False
True,13,mbpp_77_is_Diff,0.7,8.409358263015747,True," ```
function is_Diff(n: number): boolean {
    if (n % 11 === 0) {
        return true;
    } else {
        return false;
    }
}
```",3.4133307933807373,56,56,"Counter({(1, 56): 1})",False
False,14,mbpp_126_sum,0.7,166.36492443084717,False," ```
function sum(a: number, b: number): number {
    let result: number = 0;
    
    // Find all common divisors between `a` and `b`
    const divisorsA: number = Math.floor((a - (a % b)) / b);
    const divisorsB: number = Math.floor((b - (b % a)) / a);
    const divisorsAB: number = Math.min(divisorsA + divisorsB) * a;
    
    // Add up the common divisors
    while (divisorsAB > 1) {
        if ((divisorsAB % 2 === 0 && divisorsAB !== 2) || (a % 4 === 3 && dismiss",134.1591215133667,400,175,"Counter({(1, 170): 1, (2, 3): 1, (3, 2): 1})",True
True,15,mbpp_266_lateralsurface_cube,0.7,10.070983171463013,True," ```
function lateralsurface_cube (sideLength:number) :number{
   let surfaceAreaofCubesSideFaces:number = 6 * Math.pow(sideLength ,2);
return surfaceAreaofCubesSideFaces;}
```",4.357778072357178,67,62,"Counter({(1, 58): 1, (2, 3): 1, (3, 1): 1})",False
False,16,mbpp_797_sum_in_range,0.7,46.47257304191589,False," ```
function sum_in_range(l: number, r: number): number {
let result:number =0
//loop through each element between l and r to check if it's an odd number
   //if so then increment result by that value
     //else do nothing.
          //return result at the end
          
       
      
     
        
            
               
                   
             
                    
                           
                              
                                   
                                    
                                               
                                                 
                                                    
                                                        
                                                            
                                                                   
                                                                    
                                                                       
                                                                        
                                                                            
                                                                                
                                                                            
                                                                                
                                                                                    
                                                                                      
                                                                                        
                                                                                                
                                                                                            
                                                                                                           
                                                                                                    
                                                                                                      
                                                                                                        
                                                                                                               
                                                                                                         
                                                                                                          
                                                                                                                                   
 








































 

























",17.054067611694336,400,351,"Counter({(1, 319): 1, (3, 10): 1, (2, 20): 1, (5, 1): 1, (6, 1): 1})",False
False,17,mbpp_3_is_not_prime,0.7,34.3824737071991,False," ```
function is_not_prime(n: number) : booligan",5.18483304977417,400,15,"Counter({(1, 14): 1, (2, 1): 1})",False
True,18,mbpp_458_rectangle_area,0.7,4.925965070724487,True," ```
function rectangle_area(length: number, breadth: number): number {
    return length * breadth;
 }
```",1.597776174545288,32,32,"Counter({(1, 32): 1})",False
True,19,mbpp_441_surfacearea_cube,0.7,4.319287300109863,True," ```
function surfacearea_cube(length: number) :number{
return length*4;}
```",1.3633337020874023,26,25,"Counter({(1, 24): 1, (2, 1): 1})",False
True,20,mbpp_162_sum_series,0.7,14.577477931976318,True," ```
function sum_series(n: number): number {
    let result: number = 0;
    for (let i: number = 0; i < n / 2; i++) {
        result += n - 2 * i;
    }
    return result;
}
```",8.000633001327515,70,70,"Counter({(1, 70): 1})",False
True,21,mbpp_448_cal_sum,0.7,25.698033332824707,True," ```
function cal_sum ( n :number) : number{
const f : number = Math.floor(n / 2);
if(f === 0){
return 1;
}else if((f % 3 )=== 0 && n!== 0 ){
return n - 1 ;
}else{
return f *calSum ( n- f );
}
}
```",17.923691511154175,96,91,"Counter({(1, 87): 1, (3, 1): 1, (2, 3): 1})",False
True,22,mbpp_738_geometric_sum,0.7,9.603364944458008,True," ```
function geometric_sum(n: number): number {
    if (n <= 0) {
        return 0;
    } else {
        return Math.pow(2, n - 1);
    }
}
```",4.251073122024536,57,57,"Counter({(1, 57): 1})",False
